"","countrycode","year","H","K","n","elasH","elasN","elasK","DamCoeff_T2","DamCoeff_T2_sd"
"56","DZA",2018,NA,NA,NA,0.53833861225934,0.00101309114037666,0.460648296600284,NA,NA
"57","ECU",2018,1165982894362.81,490496617000.558,8711814146.53618,0.53833861225934,0.00316537871663802,0.458496009024022,-0.00227451986343611,0.00187275965650215
"58","EGY",2018,1275358213246.75,344543110260.684,190486749.760063,0.53833861225934,0.0015060273387775,0.460155360401883,0.00195586212125895,0.0379565788805157
"59","ERI",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"60","ESP",2018,9282364254019.88,6827781106174.49,8789479377.47702,0.53833861225934,0.000287535341246658,0.461373852399414,-0.0187919207348009,0.00592129833395165
"61","EST",2018,207957785626.332,129531442270.435,5993740992.63853,0.53833861225934,0.00997068325332752,0.451690704487333,0.0158322741148663,0.00308687767241919
"62","ETH",2018,813780365983.668,200154288106.455,16174428362.4277,0.53833861225934,0.058524188472366,0.403137199268294,-0.0028316318902104,0.0107859836094221
"63","FIN",2018,1886686663548.36,1382988082751.15,22200588493.7497,0.53833861225934,0.00412073108584277,0.457540656654817,0.123165172591512,0.102150649682394
"64","FJI",2018,NA,NA,NA,0.53833861225934,0.00881582954026152,0.452845558200399,NA,NA
"65","FRA",2018,22790011195252,15100628582376.2,22770070437.2668,0.53833861225934,0.000332316457049804,0.46132907128361,-0.0259963103993541,0.0077584359868202
"66","FRO",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"67","FSM",2018,NA,NA,NA,0.53833861225934,0.000163218806922424,0.461498168933738,NA,NA
"68","GAB",2018,40452213586.2522,47711211685.2641,10120967659.9312,0.53833861225934,0.0254712349097993,0.436190152830861,-0.00256698014280475,0.000950130952821916
"69","GBR",2018,21722122027527.4,11146634711140.3,3870687223.88915,0.53833861225934,7.00665135365926e-05,0.461591321227124,-0.01094079181828,0.0058524459375679
"70","GEO",2018,67352731527.1614,84555785985.3636,290896650.859674,0.53833861225934,0.000736288564985417,0.460925099175675,0.000396981520110239,0.00546852697218247
"71","GHA",2018,534363203481.716,261581126725.365,55382645515.4966,0.53833861225934,0.0364324340394072,0.425228953701253,-0.00562732911195249,0.00485092139495198
"72","GIB",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"73","GIN",2018,8290114550.71688,31594579308.2091,22453825962.087,0.53833861225934,0.0556111010334944,0.406050286707166,-0.00920767420875287,0.00625113672040366
"74","GMB",2018,11339038560.5235,3635494867.58965,1676853662.17439,0.53833861225934,0.0255468764231255,0.436114511317535,-0.000606463306395984,0.0217828935984656
"75","GNB",2018,NA,NA,NA,0.53833861225934,0.0947857602557821,0.366875627484878,NA,NA
"76","GNQ",2018,NA,NA,NA,0.53833861225934,0.019943538066327,0.441717849674333,NA,NA
"77","GRC",2018,961667147682.302,1312972579038.64,614473479.172929,0.53833861225934,0.000120346165292393,0.461541041575368,-0.00559508026811551,0.0139128088646075
"78","GRD",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"79","GRL",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"80","GTM",2018,404789947157.239,167349988482.665,6751242698.9471,0.53833861225934,0.00808142578542166,0.453579961955239,-0.00320473150812942,0.0112132154198834
"81","GUM",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"82","GUY",2018,19095979707.9211,10508097707.1208,5867611091.13208,0.53833861225934,0.0427186726478605,0.4189427150928,-0.00990786852548511,0.00717841179438184
"83","HKG",2018,NA,NA,NA,0.53833861225934,6.60134372524371e-06,0.461654786396935,NA,NA
"84","HND",2018,178906232343.494,81745219104.582,7848475006.96849,0.53833861225934,0.0107233373026474,0.450938050438013,-0.000698585690323678,0.0144906649516526
"85","HRV",2018,335031093646.59,269884825756.557,3706121643.61354,0.53833861225934,0.00252520057192487,0.459136187168735,-0.0374915123535628,0.0185251234934869
"86","HTI",2018,51125700569.4898,66241102580.9911,259738066.36946,0.53833861225934,0.00450263747512425,0.457158750265536,-0.00641452316633015,0.0125977002159698
"87","HUN",2018,979013578327.532,754109410569.875,3700114928.87467,0.53833861225934,0.000964696374651554,0.460696691366009,0.0016150264663922,0.0181711659903093
"88","IDN",2018,7091094667483.37,4560393130507.49,111144389408.229,0.53833861225934,0.00505173298467073,0.45660965475599,-0.0050768345978131,0.00199910593668109
"89","IMN",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"90","IND",2018,21155713632032.9,8302382720676.94,58683260531.2778,0.53833861225934,0.00149891710781769,0.460162470632843,-0.00304116573516905,0.0106829861412889
"91","IRL",2018,1730344967906.79,1106607069763.96,1126914061.22821,0.53833861225934,0.000169469206391901,0.461491918534268,-0.0266660608884265,0.0108729873978731
"92","IRN",2018,2070706984592.89,2156200787488.5,1140907969.36917,0.53833861225934,6.96570568871584e-05,0.461591730683773,0.0188451367294616,0.0138729870053093
"93","IRQ",2018,654198988076.808,397390447646.065,250627103.856059,0.53833861225934,3.01474269326889e-05,0.461631240313728,-0.0212165851700851,0.00404656540045196
"94","ISL",2018,222862326605.266,116785395259.168,1551818.16284099,0.53833861225934,1.90425064195633e-06,0.461659483490018,0.0255301732287991,0.153384798146427
"95","ISR",2018,NA,NA,NA,0.53833861225934,1.74201721953546e-06,0.461659645723441,NA,NA
"96","ITA",2018,11633527953681.7,10867261393841.7,5508758145.62921,0.53833861225934,0.000102524237052915,0.461558863503607,-0.00286463597995253,0.00734415233570817
"97","JAM",2018,100207296140.04,107320641588.633,793668395.610608,0.53833861225934,0.0017498934584747,0.459911494282186,0.000871576381111055,0.012644699932657
"98","JOR",2018,174146188448.946,166905090351.927,71744562.632699,0.53833861225934,0.000176795909805008,0.461484591830855,-0.0143012888348923,0.0183298623384943
"99","JPN",2018,38269070773603.4,29085172340884.5,19627812471.2059,0.53833861225934,0.000253385366025236,0.461408002374635,0.0204505630726041,0.00448802912232417
"100","KAZ",2018,870518291277.57,599186414678.255,172718468.770669,0.53833861225934,5.13683871039083e-05,0.461610019353556,0.919963917536389,1.55512065128596
"101","KEN",2018,784245097537.126,183277421392.647,41525406085.4483,0.53833861225934,0.0131669530937075,0.448494434646953,-0.00414016967002178,0.00225160576239425
"102","KGZ",2018,35048607146.8978,38021959255.6544,24316306.2005914,0.53833861225934,0.000128765518633795,0.461532622222026,0.121882798635095,0.103102756491395
"103","KHM",2018,184800707449.071,54263260521.4561,9242962160.74564,0.53833861225934,0.00872103586520541,0.452940351875455,-0.00293505408246473,0.00589055570105675
"104","KIR",2018,NA,NA,NA,0.53833861225934,0.00041513572386133,0.461246252016799,NA,NA
"105","KNA",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"106","KOR",2018,10532146530840,7309076312896.29,5531084312.26675,0.53833861225934,0.000167692769570107,0.46149369497109,-0.0157665447271036,0.0131860834073855
"107","KWT",2018,447852313778.886,386582296831.245,7079527.62278243,0.53833861225934,2.90741919372202e-06,0.461658480321467,-0.026192700025622,0.0176472892846585
"108","LAO",2018,167309892815.297,48770222707.6296,10521373223.3069,0.53833861225934,0.0164621015487143,0.445199286191946,-0.00251098682301649,0.00407293919996158
"109","LBN",2018,232628927525.863,181369562716.717,21471718.7210634,0.53833861225934,9.35282348822411e-06,0.461652034917172,0.00773696522116548,0.00900197948656202
"110","LBR",2018,24053917342.4475,9081212907.27269,14488148484.5779,0.53833861225934,0.136860291655836,0.324801096084824,-0.00223932454690721,0.00179355221978168
"111","LBY",2018,NA,NA,NA,0.53833861225934,0.00056036453315547,0.461101023207505,NA,NA
"112","LCA",2018,NA,NA,NA,0.53833861225934,0.00011838856904982,0.46154299917161,NA,NA
"113","LIE",2018,NA,NA,NA,0.53833861225934,3.11286633473741e-05,0.461630259077313,NA,NA
"114","LKA",2018,316679316522.945,333086381257.717,1205266883.37071,0.53833861225934,0.00067291157805824,0.460988476162602,0.00217215357479619,0.00875325569646174
"115","LSO",2018,21235916710.2249,11470033820.1593,214217203.171008,0.53833861225934,0.0327550088735117,0.428906378867149,-0.0239839274702261,0.020508246880564
"116","LTU",2018,325650934863.433,200724109603.5,4153025879.66114,0.53833861225934,0.00339626713670544,0.458265120603955,0.0129104641097462,0.00442843739926583
"117","LUX",2018,296756002261.505,203909879209.448,187268378.0281,0.53833861225934,0.000129512376465991,0.461531875364194,-0.0521179224247835,0.0189011851635287
"118","LVA",2018,206456717930.126,233396922407.917,7667105163.37404,0.53833861225934,0.00980535705825529,0.451856030682405,0.0155336184678981,0.00888382240882568
"119","MAC",2018,NA,NA,NA,0.53833861225934,3.75846221874814e-06,0.461657629278442,NA,NA
"120","MAF",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"121","MAR",2018,505875109857.951,474793897565.407,4937072558.39317,0.53833861225934,0.00127460630241432,0.460386781438246,-0.00513193527596698,0.00950165763785207
"122","MCO",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"123","MDA",2018,18181777036.5897,61160625372.1186,683309402.766221,0.53833861225934,0.00239569113713366,0.459265696603527,0.00380248094462195,0.0173120269857515
"124","MDG",2018,122050875055.365,38365669593.5132,22455049861.028,0.53833861225934,0.0428880373438886,0.418773350396772,-0.00205243052073422,0.0023562431147947
"125","MDV",2018,19502946804.8923,12414989164.3453,1051494.74595932,0.53833861225934,2.58454458808727e-05,0.461635542294779,NA,NA
"126","MEX",2018,6616385346750.2,5521300323496.47,39466500804.0637,0.53833861225934,0.00115662397348889,0.460504763767171,-0.00120708204624563,0.0071981809641605
"127","MHL",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"128","MKD",2018,63619084657.5132,46575314602.119,421254445.341136,0.53833861225934,0.00142208285200066,0.46023930488866,0.0116779550690772,0.0182092991843125
"129","MLI",2018,80835185027.8273,29748822636.8551,3557316042.86482,0.53833861225934,0.0223662530237996,0.439295134716861,0.00988541030815343,0.0338872286529843
"130","MLT",2018,97013361598.1067,37330132669.0484,0,0.53833861225934,0,0.46166138774066,NA,NA
"131","MMR",2018,NA,NA,NA,0.53833861225934,0.0181581751164062,0.443503212624254,NA,NA
"132","MNE",2018,NA,NA,NA,0.53833861225934,0.00443025859037371,0.457231129150287,NA,NA
"133","MNG",2018,63632487789.4517,53448631087.4112,709787619.019993,0.53833861225934,0.00162706490215867,0.460034322838502,0.0287222362133006,0.00907042568163655
"134","MNP",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"135","MOZ",2018,104741915035.09,39943455957.3334,30866607661.761,0.53833861225934,0.0694274798662344,0.392233907874426,-0.00902015518093805,0.00530642763936217
"136","MRT",2018,40885722095.8453,26685214641.823,302455654.993746,0.53833861225934,0.0128939209784655,0.448767466762195,-0.000443058088826097,0.0563233226241272
"137","MUS",2018,61567792966.9879,39877626486.8255,7476566.51840656,0.53833861225934,2.3805384255634e-05,0.461637582356405,NA,NA
"138","MWI",2018,56396931456.5725,14715133937.5714,12637705015.3158,0.53833861225934,0.0709353808163634,0.390726006924297,-0.00757340949501747,0.0056604820683849
"139","MYS",2018,3731788919673.54,1018803650662.34,152141342236.586,0.53833861225934,0.020506046935017,0.441155340805643,-0.00249097087156112,0.000752929595490816
"140","NAM",2018,112423291592.264,32038200700.2657,2473720559.21984,0.53833861225934,0.00456537205776882,0.457096015682891,0.0260186570922506,0.00855422458990944
"141","NCL",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"142","NER",2018,64551971502.9266,49237874873.7315,592532980.225765,0.53833861225934,0.0458584884704992,0.415802899270161,0.0484423654460893,0.0598202799868324
"143","NGA",2018,3717050828780.45,1129060561773.19,34667592914.8747,0.53833861225934,0.0113266026463549,0.450334785094305,-0.00786973441238739,0.00166469090919585
"144","NIC",2018,83952305144.1429,61637307119.3658,5813877896.19528,0.53833861225934,0.012877276282266,0.448784111458394,-0.00286657645325966,0.012272310370903
"145","NLD",2018,7115603037435.75,4013057487309.06,1046306053.22762,0.53833861225934,5.82408971335676e-05,0.461603146843527,-0.0292356585027601,0.0406708326043238
"146","NOR",2018,2837505821497.49,2191624961054.44,4541309488.35887,0.53833861225934,0.000527147228948778,0.461134240511711,-0.0273289920266318,0.0328062677737126
"147","NPL",2018,188720943660.939,125395263210.985,5362707879.07945,0.53833861225934,0.00475231568810872,0.456909072052551,0.0173842746616137,0.00722297753839608
"148","NRU",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"149","NZL",2018,NA,NA,NA,0.53833861225934,0.0104303037847215,0.451231083955939,NA,NA
"150","OMN",2018,359890407689.098,240840011693.953,2156588.08078431,0.53833861225934,1.22520724346104e-05,0.461649135668226,0.0318078311338758,0.0337208994204351
"151","PAK",2018,2468325045215.69,627362978180.252,1695700899.02623,0.53833861225934,0.00113818086872623,0.460523206871934,0.0439223121300867,0.0252200249621544
"152","PAN",2018,333741798884.33,250685432744.234,1551374600.76822,0.53833861225934,0.000985296130129807,0.46067609161053,-0.00392198292398496,0.00675047667034569
"153","PER",2018,1535475867937.78,731759766510.042,9069621348.25407,0.53833861225934,0.00127912689586561,0.460382260844795,0.000600811467313513,0.00254322122613001
"154","PHL",2018,2619292448001.48,903083637163.976,19458586061.9597,0.53833861225934,0.00202004589061361,0.459641341850047,-0.00254122313849725,0.00457229126505509
"155","PLW",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"156","PNG",2018,131367036919.994,50189747038.9134,14537673075.2134,0.53833861225934,0.0236976439214081,0.437963743819252,-0.0025750263442013,0.00220058324213671
"157","POL",2018,3785517855128.65,1553081741180.64,23976395758.0682,0.53833861225934,0.0020410659845031,0.459620321756157,0.0144241296078683,0.00466504599734677
"158","PRI",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"159","PRK",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"160","PRT",2018,1510918465447.54,1254239128235.09,7336806424.22479,0.53833861225934,0.00138918206806558,0.460272205672595,-0.0170460456770656,0.0101917929214508
"161","PRY",2018,389015762599.474,99818543529.1396,13504991972.7117,0.53833861225934,0.014272808832119,0.447388578908541,-0.00535553845754932,0.00383120568572546
"162","PSE",2018,52325852366.6187,61859782648.2808,0,0.53833861225934,0,0.46166138774066,NA,NA
"163","PYF",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"164","QAT",2018,556483995189.065,758225856834.929,4778443.46708829,0.53833861225934,5.58068496006364e-07,0.461660829672164,-0.0395029118132719,0.0523970261394203
"165","ROU",2018,1446467475073.16,787391687943.077,9819260801.94224,0.53833861225934,0.00175905472783608,0.459902333012824,0.0578752227325722,0.0673177561673255
"166","RUS",2018,8824830480425.76,11204144439591.3,118688450336.079,0.53833861225934,0.00361835661399446,0.458043031126666,0.0175785191411575,0.0120018497436834
"167","RWA",2018,89008299580.766,19437787690.2105,4674390634.43388,0.53833861225934,0.0429335622634252,0.418727825477235,-0.000939681496042673,0.0103056998390078
"168","SAU",2018,2462040215177.82,2323868728358.87,275688959.094041,0.53833861225934,7.65905666911991e-06,0.461653728683991,-0.0191810702088871,0.020271476966481
"169","SDN",2018,NA,NA,NA,0.53833861225934,0.0249801297419027,0.436681257998758,NA,NA
"170","SEN",2018,140757892524.202,71814062064.6371,11630953622.3282,0.53833861225934,0.0161127292307181,0.445548658509942,-0.0262908603364599,0.0198703744002452
"171","SGP",2018,2619143633431.02,1160451987203.91,32749359.4143984,0.53833861225934,1.88569576756103e-06,0.461659502044893,NA,NA
"172","SLB",2018,12034859094.7696,1041948588.27054,6477924664.11288,0.53833861225934,0.218260016201596,0.243401371539064,-0.0026763012284989,0.0055400562796564
"173","SLE",2018,34282369818.4009,8562749844.52487,8594117584.53867,0.53833861225934,0.0716525460900648,0.390008841650595,-0.00492435561214906,0.00491441741514951
"174","SLV",2018,153711162595.368,78194114675.7757,1436072216.39965,0.53833861225934,0.00655778351622531,0.455103604224435,-0.00386708529045551,0.0278602451938552
"175","SMR",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"176","SOM",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"177","SRB",2018,NA,NA,NA,0.53833861225934,0.00362864858482419,0.458032739155836,NA,NA
"178","SSD",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"179","STP",2018,NA,NA,NA,0.53833861225934,0.0223506673168025,0.439310720423858,NA,NA
"180","SUR",2018,9543890825.61773,23022016373.6858,1247980200.85096,0.53833861225934,0.0303303575596867,0.431331030180974,-0.00489010644544322,0.00492722117265638
